hour,production,consumption
2023-04-01 00:00,0.0,2.94
2023-04-01 01:00,0.0,3.14
2023-04-01 02:00,0.0,3.15
2023-04-01 03:00,0.0,2.59
2023-04-01 04:00,0.0,2.94
2023-04-01 05:00,0.0,3.45
2023-04-01 06:00,0.0,8.35
2023-04-01 07:00,0.14,9.85
2023-04-01 08:00,1.74,9.53
2023-04-01 09:00,2.03,8.52
2023-04-01 10:00,1.7,9.7
2023-04-01 11:00,3.85,12.45
2023-04-01 12:00,5.6,9.24
2023-04-01 13:00,3.66,10.98
2023-04-01 14:00,3.4,11.36
2023-04-01 15:00,1.48,8.69
2023-04-01 16:00,1.17,9.67
2023-04-01 17:00,0.73,10.02
2023-04-01 18:00,0.63,9.24
2023-04-01 19:00,0.0,9.27
2023-04-01 20:00,0.0,10.11
2023-04-01 21:00,0.0,9.56
2023-04-01 22:00,0.0,7.78
2023-04-01 23:00,0.0,3.24
2023-04-02 00:00,0.0,2.51
2023-04-02 01:00,0.0,2.35
2023-04-02 02:00,0.0,3.31
2023-04-02 03:00,0.0,3.4
2023-04-02 04:00,0.0,2.18
2023-04-02 05:00,0.0,3.26
2023-04-02 06:00,0.0,9.4
2023-04-02 07:00,0.82,10.59
2023-04-02 08:00,1.35,8.91
2023-04-02 09:00,1.96,7.48
2023-04-02 10:00,4.3,9.76
2023-04-02 11:00,3.14,8.22
2023-04-02 12:00,3.65,7.77
2023-04-02 13:00,4.17,8.51
2023-04-02 14:00,3.84,9.63
2023-04-02 15:00,2.41,8.78
2023-04-02 16:00,2.75,9.74
2023-04-02 17:00,0.67,8.37
2023-04-02 18:00,0.75,8.14
2023-04-02 19:00,0.0,8.7
2023-04-02 20:00,0.0,7.87
2023-04-02 21:00,0.0,8.86
2023-04-02 22:00,0.0,8.93
2023-04-02 23:00,0.0,3.13
2023-04-03 00:00,0.0,2.61
2023-04-03 01:00,0.0,3.06
2023-04-03 02:00,0.0,2.78
2023-04-03 03:00,0.0,3.2
2023-04-03 04:00,0.0,2.92
2023-04-03 05:00,0.0,2.68
2023-04-03 06:00,0.0,10.48
2023-04-03 07:00,0.96,9.0
2023-04-03 08:00,2.48,8.3
2023-04-03 09:00,2.26,8.47
2023-04-03 10:00,2.97,10.34
2023-04-03 11:00,3.36,10.5
2023-04-03 12:00,4.27,6.41
2023-04-03 13:00,3.52,8.18
2023-04-03 14:00,3.45,8.72
2023-04-03 15:00,2.43,10.45
2023-04-03 16:00,2.42,8.72
2023-04-03 17:00,0.94,9.66
2023-04-03 18:00,0.93,8.95
2023-04-03 19:00,0.0,7.62
2023-04-03 20:00,0.0,9.51
2023-04-03 21:00,0.0,8.8
2023-04-03 22:00,0.0,10.25
2023-04-03 23:00,0.0,2.77
2023-04-04 00:00,0.0,3.56
2023-04-04 01:00,0.0,3.08
2023-04-04 02:00,0.0,2.95
2023-04-04 03:00,0.0,2.98
2023-04-04 04:00,0.0,3.8
2023-04-04 05:00,0.0,3.8
2023-04-04 06:00,0.0,9.17
2023-04-04 07:00,1.02,9.22
2023-04-04 08:00,1.09,10.73
2023-04-04 09:00,2.04,9.51
2023-04-04 10:00,3.43,8.01
2023-04-04 11:00,3.86,8.66
2023-04-04 12:00,4.2,8.39
2023-04-04 13:00,3.56,8.31
2023-04-04 14:00,2.27,8.78
2023-04-04 15:00,2.94,7.46
2023-04-04 16:00,1.72,8.07
2023-04-04 17:00,0.99,7.87
2023-04-04 18:00,0.37,10.18
2023-04-04 19:00,0.0,8.55
2023-04-04 20:00,0.0,8.02
2023-04-04 21:00,0.0,8.73
2023-04-04 22:00,0.0,9.33
2023-04-04 23:00,0.0,3.79
2023-04-05 00:00,0.0,3.18
2023-04-05 01:00,0.0,2.72
2023-04-05 02:00,0.0,2.63
2023-04-05 03:00,0.0,2.53
2023-04-05 04:00,0.0,3.33
2023-04-05 05:00,0.0,3.64
2023-04-05 06:00,0.0,8.87
2023-04-05 07:00,1.23,11.27
2023-04-05 08:00,1.6,10.37
2023-04-05 09:00,2.29,7.04
2023-04-05 10:00,3.37,8.38
2023-04-05 11:00,5.36,8.52
2023-04-05 12:00,5.43,8.27
2023-04-05 13:00,3.38,8.91
2023-04-05 14:00,3.37,7.56
2023-04-05 15:00,2.04,9.98
2023-04-05 16:00,2.22,9.61
2023-04-05 17:00,0.49,9.06
2023-04-05 18:00,0.55,9.26
2023-04-05 19:00,0.0,9.41
2023-04-05 20:00,0.0,10.08
2023-04-05 21:00,0.0,8.53
