hour,production,consumption
2023-02-01 00:00,0.0,2.96
2023-02-01 01:00,0.0,3.18
2023-02-01 02:00,0.0,3.04
2023-02-01 03:00,0.0,3.24
2023-02-01 04:00,0.0,2.78
2023-02-01 05:00,0.0,2.57
2023-02-01 06:00,0.0,9.44
2023-02-01 07:00,0.75,8.45
2023-02-01 08:00,1.98,9.13
2023-02-01 09:00,1.76,10.68
2023-02-01 10:00,2.85,8.54
2023-02-01 11:00,3.8,7.7
2023-02-01 12:00,3.84,9.51
2023-02-01 13:00,4.46,9.52
2023-02-01 14:00,3.35,10.13
2023-02-01 15:00,2.39,8.23
2023-02-01 16:00,1.52,9.31
2023-02-01 17:00,0.98,8.04
2023-02-01 18:00,0.97,9.18
2023-02-01 19:00,0.0,8.88
2023-02-01 20:00,0.0,8.63
2023-02-01 21:00,0.0,7.47
2023-02-01 22:00,0.0,7.34
2023-02-01 23:00,0.0,3.54
2023-02-02 00:00,0.0,3.09
2023-02-02 01:00,0.0,2.76
2023-02-02 02:00,0.0,3.05
2023-02-02 03:00,0.0,3.82
2023-02-02 04:00,0.0,2.99
2023-02-02 05:00,0.0,3.0
2023-02-02 06:00,0.0,9.02
2023-02-02 07:00,0.56,7.6
2023-02-02 08:00,1.78,8.93
2023-02-02 09:00,2.55,10.45
2023-02-02 10:00,3.0,9.07
2023-02-02 11:00,3.29,9.18
2023-02-02 12:00,4.63,10.41
2023-02-02 13:00,5.23,9.6
2023-02-02 14:00,2.51,8.67
2023-02-02 15:00,2.38,7.15
2023-02-02 16:00,1.54,7.97
2023-02-02 17:00,0.69,9.64
2023-02-02 18:00,0.18,8.19
2023-02-02 19:00,0.0,7.6
2023-02-02 20:00,0.0,8.8
2023-02-02 21:00,0.0,7.36
2023-02-02 22:00,0.0,9.2
2023-02-02 23:00,0.0,3.22
2023-02-03 00:00,0.0,2.5
2023-02-03 01:00,0.0,3.06
2023-02-03 02:00,0.0,3.49
2023-02-03 03:00,0.0,2.68
2023-02-03 04:00,0.0,3.07
2023-02-03 05:00,0.0,3.18
2023-02-03 06:00,0.0,12.06
2023-02-03 07:00,1.34,10.12
2023-02-03 08:00,1.44,8.04
2023-02-03 09:00,2.34,8.52
2023-02-03 10:00,3.85,8.0
2023-02-03 11:00,3.79,10.12
2023-02-03 12:00,4.04,8.79
2023-02-03 13:00,4.5,7.84
2023-02-03 14:00,3.52,7.09
2023-02-03 15:00,3.13,9.6
2023-02-03 16:00,1.81,10.19
2023-02-03 17:00,1.1,8.5
2023-02-03 18:00,0.22,7.45
2023-02-03 19:00,0.0,9.6
2023-02-03 20:00,0.0,8.23
2023-02-03 21:00,0.0,9.49
2023-02-03 22:00,0.0,8.3
2023-02-03 23:00,0.0,3.69
2023-02-04 00:00,0.0,2.63
2023-02-04 01:00,0.0,3.49
2023-02-04 02:00,0.0,3.12
2023-02-04 03:00,0.0,3.21
2023-02-04 04:00,0.0,2.57
2023-02-04 05:00,0.0,2.25
2023-02-04 06:00,0.0,9.9
2023-02-04 07:00,1.11,8.7
2023-02-04 08:00,0.94,10.36
2023-02-04 09:00,1.77,9.65
2023-02-04 10:00,2.83,12.31
2023-02-04 11:00,3.27,6.7
2023-02-04 12:00,5.36,9.2
2023-02-04 13:00,4.4,8.94
2023-02-04 14:00,3.18,8.5
2023-02-04 15:00,3.41,7.29
2023-02-04 16:00,1.28,8.84
2023-02-04 17:00,0.77,7.98
2023-02-04 18:00,0.75,7.96
2023-02-04 19:00,0.0,9.52
2023-02-04 20:00,0.0,9.64
2023-02-04 21:00,0.0,9.8
2023-02-04 22:00,0.0,11.33
2023-02-04 23:00,0.0,3.07
2023-02-05 00:00,0.0,2.71
2023-02-05 01:00,0.0,2.6
2023-02-05 02:00,0.0,2.77
2023-02-05 03:00,0.0,3.35
2023-02-05 04:00,0.0,3.59
2023-02-05 05:00,0.0,2.8
2023-02-05 06:00,0.0,9.08
2023-02-05 07:00,0.89,8.8
2023-02-05 08:00,2.55,10.33
2023-02-05 09:00,2.54,8.22
2023-02-05 10:00,2.79,8.88
2023-02-05 11:00,3.45,9.28
2023-02-05 12:00,4.58,9.42
