hour,production,consumption
2023-12-01 00:00,0.0,3.01
2023-12-01 01:00,0.0,3.51
2023-12-01 02:00,0.0,3.05
2023-12-01 03:00,0.0,3.75
2023-12-01 04:00,0.0,4.02
2023-12-01 05:00,0.0,3.45
2023-12-01 06:00,0.0,8.85
2023-12-01 07:00,0.68,8.91
2023-12-01 08:00,1.03,8.63
2023-12-01 09:00,1.75,9.08
2023-12-01 10:00,2.53,7.97
2023-12-01 11:00,4.48,8.8
2023-12-01 12:00,5.45,11.27
2023-12-01 13:00,2.46,9.69
2023-12-01 14:00,3.47,8.89
2023-12-01 15:00,1.23,10.03
2023-12-01 16:00,3.01,9.72
2023-12-01 17:00,1.23,10.18
2023-12-01 18:00,0.99,7.96
2023-12-01 19:00,0.0,9.89
2023-12-01 20:00,0.0,9.78
2023-12-01 21:00,0.0,8.62
2023-12-01 22:00,0.0,7.72
2023-12-01 23:00,0.0,2.76
2023-12-02 00:00,0.0,3.18
2023-12-02 01:00,0.0,3.59
2023-12-02 02:00,0.0,2.48
2023-12-02 03:00,0.0,2.95
2023-12-02 04:00,0.0,3.06
2023-12-02 05:00,0.0,3.26
2023-12-02 06:00,0.0,8.86
2023-12-02 07:00,1.17,11.16
2023-12-02 08:00,1.55,7.96
2023-12-02 09:00,2.88,7.12
2023-12-02 10:00,4.3,8.89
2023-12-02 11:00,3.09,9.34
2023-12-02 12:00,5.46,7.72
2023-12-02 13:00,4.69,8.72
2023-12-02 14:00,3.42,9.3
2023-12-02 15:00,2.76,7.69
2023-12-02 16:00,1.62,9.66
2023-12-02 17:00,1.04,9.4
2023-12-02 18:00,0.53,9.83
2023-12-02 19:00,0.0,8.35
2023-12-02 20:00,0.0,9.53
2023-12-02 21:00,0.0,9.48
2023-12-02 22:00,0.0,10.35
2023-12-02 23:00,0.0,2.93
2023-12-03 00:00,0.0,3.62
2023-12-03 01:00,0.0,2.88
2023-12-03 02:00,0.0,3.56
2023-12-03 03:00,0.0,3.05
2023-12-03 04:00,0.0,2.86
2023-12-03 05:00,0.0,3.01
2023-12-03 06:00,0.0,8.37
2023-12-03 07:00,1.89,8.24
2023-12-03 08:00,1.19,10.67
2023-12-03 09:00,2.7,9.66
2023-12-03 10:00,2.69,8.3
2023-12-03 11:00,2.82,8.34
2023-12-03 12:00,6.34,10.68
2023-12-03 13:00,4.68,9.29
2023-12-03 14:00,4.13,9.56
2023-12-03 15:00,2.63,9.69
2023-12-03 16:00,1.02,7.88
2023-12-03 17:00,0.3,11.14
2023-12-03 18:00,0.02,8.67
2023-12-03 19:00,0.0,10.77
2023-12-03 20:00,0.0,10.48
2023-12-03 21:00,0.0,10.86
2023-12-03 22:00,0.0,7.68
2023-12-03 23:00,0.0,3.0
2023-12-04 00:00,0.0,3.36
2023-12-04 01:00,0.0,3.03
2023-12-04 02:00,0.0,2.69
2023-12-04 03:00,0.0,3.06
2023-12-04 04:00,0.0,3.4
2023-12-04 05:00,0.0,3.18
2023-12-04 06:00,0.0,10.27
2023-12-04 07:00,0.76,8.77
2023-12-04 08:00,1.47,8.84
2023-12-04 09:00,3.34,11.81
2023-12-04 10:00,2.39,7.61
2023-12-04 11:00,2.68,9.03
2023-12-04 12:00,4.69,8.72
2023-12-04 13:00,3.78,9.05
2023-12-04 14:00,4.08,9.52
2023-12-04 15:00,3.56,8.27
2023-12-04 16:00,1.23,9.28
2023-12-04 17:00,1.08,8.51
2023-12-04 18:00,0.45,9.04
2023-12-04 19:00,0.0,10.98
2023-12-04 20:00,0.0,8.16
2023-12-04 21:00,0.0,9.55
2023-12-04 22:00,0.0,8.99
2023-12-04 23:00,0.0,3.32
2023-12-05 00:00,0.0,2.46
2023-12-05 01:00,0.0,3.32
2023-12-05 02:00,0.0,3.2
2023-12-05 03:00,0.0,2.18
2023-12-05 04:00,0.0,3.02
2023-12-05 05:00,0.0,2.72
2023-12-05 06:00,0.0,10.0
2023-12-05 07:00,0.62,10.5
2023-12-05 08:00,1.76,8.45
2023-12-05 09:00,3.03,10.66
2023-12-05 10:00,2.57,9.38
2023-12-05 11:00,4.66,7.28
2023-12-05 12:00,4.46,9.75
2023-12-05 13:00,4.69,7.01
2023-12-05 14:00,3.31,8.96
2023-12-05 15:00,2.93,8.73
2023-12-05 16:00,1.39,8.06
2023-12-05 17:00,0.9,8.67
2023-12-05 18:00,0.08,8.25
2023-12-05 19:00,0.0,9.95
2023-12-05 20:00,0.0,8.95
2023-12-05 21:00,0.0,8.59
2023-12-05 22:00,0.0,7.13
2023-12-05 23:00,0.0,2.65
2023-12-06 00:00,0.0,3.03
2023-12-06 01:00,0.0,2.92
2023-12-06 02:00,0.0,3.11
2023-12-06 03:00,0.0,3.14
2023-12-06 04:00,0.0,3.16
2023-12-06 05:00,0.0,2.96
2023-12-06 06:00,0.0,8.17
2023-12-06 07:00,1.31,8.9
2023-12-06 08:00,1.55,8.94
2023-12-06 09:00,2.56,7.01
2023-12-06 10:00,4.27,9.99
2023-12-06 11:00,5.3,10.64
2023-12-06 12:00,5.03,6.83
2023-12-06 13:00,4.01,8.58
2023-12-06 14:00,3.11,8.89
2023-12-06 15:00,2.78,10.02
2023-12-06 16:00,1.99,7.08
2023-12-06 17:00,0.41,8.9
2023-12-06 18:00,0.56,8.63
2023-12-06 19:00,0.0,9.4
2023-12-06 20:00,0.0,8.13
2023-12-06 21:00,0.0,9.44
2023-12-06 22:00,0.0,9.15
2023-12-06 23:00,0.0,2.87
2023-12-07 00:00,0.0,2.71
2023-12-07 01:00,0.0,3.11
2023-12-07 02:00,0.0,2.88
2023-12-07 03:00,0.0,3.17
2023-12-07 04:00,0.0,2.97
2023-12-07 05:00,0.0,2.63
2023-12-07 06:00,0.0,10.84
2023-12-07 07:00,0.98,10.48
2023-12-07 08:00,2.78,8.85
2023-12-07 09:00,2.76,8.55
2023-12-07 10:00,3.29,9.7
2023-12-07 11:00,3.94,9.28
2023-12-07 12:00,4.98,8.85
2023-12-07 13:00,4.67,10.28
2023-12-07 14:00,1.84,8.16
2023-12-07 15:00,2.2,9.58
2023-12-07 16:00,2.32,7.74
2023-12-07 17:00,0.58,9.18
2023-12-07 18:00,0.65,8.64
2023-12-07 19:00,0.0,10.19
2023-12-07 20:00,0.0,9.83
2023-12-07 21:00,0.0,6.74
2023-12-07 22:00,0.0,10.03
2023-12-07 23:00,0.0,2.75
